Batch Size,Learning Rate,Init Hid Dim,Validation Loss,Test Loss,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test CSI Score
8,0.01,8,0.146316782,0.140119851,0.935772444,0.717372249,0.725660936,0.721454774,0.564408761
8,0.01,16,0.14519538,0.140623227,0.935460806,0.766095423,0.629226124,0.690843033,0.52786681
8,0.01,32,0.145294696,0.139694527,0.935805611,0.725889896,0.707185926,0.716366029,0.558195784
8,0.05,8,0.149502739,0.144073263,0.934779444,0.702365402,0.748112284,0.724476425,0.56811487
8,0.05,16,0.147791803,0.142268553,0.934430167,0.69285451,0.768837926,0.728815008,0.573498832
8,0.05,32,0.147303179,0.142821223,0.934480778,0.727476932,0.685401344,0.705700637,0.545384355
8,0.1,8,0.147196919,0.143213764,0.934570694,0.745980992,0.650914726,0.695163372,0.532928065
8,0.1,16,0.146430239,0.141519487,0.935287389,0.734226254,0.682457718,0.707380249,0.547377349
8,0.1,32,0.145845398,0.139910936,0.936121056,0.739236277,0.684120067,0.710545477,0.551168679
16,0.01,8,0.140999094,0.137997538,0.936791813,0.715390194,0.745746367,0.730246406,0.57523232
16,0.01,16,0.141070738,0.138478205,0.937171375,0.740105048,0.697018665,0.717851863,0.560082165
16,0.01,32,0.140735015,0.140878886,0.935183063,0.742369071,0.666218216,0.702209204,0.541203114
16,0.05,8,0.140571296,0.138224512,0.936888813,0.734894578,0.703650176,0.718883529,0.561313282
16,0.05,16,0.139419019,0.138891757,0.936635021,0.73151838,0.70722677,0.719039391,0.561490028
16,0.05,32,0.143421799,0.145272747,0.933878188,0.714571378,0.705312905,0.709895984,0.550468886
16,0.1,8,0.1436418,0.143096745,0.935968521,0.72970374,0.701872802,0.715509266,0.557155638
16,0.1,16,0.142274782,0.140414923,0.935855917,0.723264722,0.714037691,0.718536971,0.560876063
16,0.1,32,0.14104861,0.140547097,0.936612313,0.744486139,0.681168068,0.711379922,0.552254304
32,0.01,8,0.153062686,0.146126673,0.933089895,0.743207555,0.6355667,0.685185369,0.521126973
32,0.01,16,0.152654096,0.144607291,0.933727579,0.750482091,0.631487212,0.685861607,0.521909725
32,0.05,8,0.154609576,0.145101726,0.933882526,0.747827866,0.638033687,0.688581583,0.525066274
32,0.05,16,0.151951522,0.145546883,0.933099053,0.72384991,0.67267166,0.697323022,0.535300027
32,0.1,8,0.153303012,0.146399871,0.932826,0.753485418,0.614806335,0.677118176,0.511850843
32,0.1,16,0.15447107,0.145742953,0.933645368,0.728465748,0.670886425,0.698491474,0.53667837